model,pollutant,horizon_h,R2,RMSE,MAE,MAPE(%),family
RandomForest,NO2(GT),12,0.4155892181108641,38.20102295007315,29.417912005965693,24.83421824223526,Tree
LinearSVR,NO2(GT),12,0.3808702239815859,39.31938608900888,30.193805455000746,24.166818232636786,Linear/Kernel
Ridge,NO2(GT),12,0.3773083076590415,39.4323280860031,30.247178757619533,23.908266000922676,Linear/Kernel
ElasticNet,NO2(GT),12,0.3751298906592847,39.50124265327647,30.286408596668725,23.93782652222805,Linear/Kernel
Lasso,NO2(GT),12,0.3733077767990972,39.55879330812633,30.337031679967858,23.90655459082799,Linear/Kernel
MLP,NO2(GT),12,0.3054317829706975,41.64600395134501,32.755614152708546,27.628652987700196,Other
LinearRegression,NO2(GT),12,0.1983447059376781,44.74141502198673,34.762272194872644,26.06056019481981,Linear/Kernel
DecisionTree,NO2(GT),12,0.0126752113527957,49.653046858963,38.62916022666727,32.670139031675575,Tree
GRU,NO2(GT),12,-0.2589757798372021,56.20987335431561,43.12818835570627,30.037678189865385,RNN
LSTM,NO2(GT),12,-0.7761338154865292,66.76390962363773,53.196164029416295,36.77390242579308,RNN
LSTM_nn48,NO2(GT),12,-1.0707423301728798,72.38910995469715,57.43316883231484,39.453343048031385,RNN
Naive,NO2(GT),12,-1.247265512313276,74.91056561769716,59.795973154362414,44.065644871493376,Other
GRU_nn48,NO2(GT),12,-1.97701536137107,86.79620641423885,63.94296090630389,46.20077062312004,RNN
ExtraTrees,NOx(GT),12,0.3880873403511731,152.91945387489994,111.0422427293065,46.01003173945727,Tree
GBDT,NOx(GT),12,0.2970658000512699,163.89864231362762,119.80022758550248,47.778910275859786,Tree
Ridge,NOx(GT),12,0.2779563059024934,166.11152256121468,117.98270720608105,43.238475197904606,Linear/Kernel
LinearSVR,NOx(GT),12,0.2777682748227701,166.13315012752545,117.97952037384668,43.20173851600578,Linear/Kernel
ElasticNet,NOx(GT),12,0.2709259252802043,166.91825924175146,117.58930177025364,42.07926605732876,Linear/Kernel
Lasso,NOx(GT),12,0.2694728993641482,167.08450835342063,117.7073564152178,42.25382122960039,Linear/Kernel
RandomForest,NOx(GT),12,0.2238520551652337,172.22265304533445,124.47580014914244,51.35708003848154,Tree
MLP,NOx(GT),12,0.2076982649335541,174.00563900800574,132.30762650493546,52.91312848579892,Other
LinearRegression,NOx(GT),12,0.0174898590358467,193.7700003429925,138.464897204935,43.654788904399474,Linear/Kernel
GRU_nn48,NOx(GT),12,-0.1820339355371283,213.3668221565318,166.0071141161229,78.36986568667896,RNN
DecisionTree,NOx(GT),12,-0.4000925247536728,231.31105406078305,168.5916457394355,70.26890801654126,Tree
GRU,NOx(GT),12,-0.5462997723538243,243.48366193947453,171.9905027627514,54.455147475656126,RNN
LSTM,NOx(GT),12,-0.5468924162329674,243.53031695453672,172.03066352995998,54.45364788738453,RNN
LSTM_nn48,NOx(GT),12,-0.7167323669331167,257.13619558677635,185.7546061562541,58.47686463917916,RNN
Naive,NOx(GT),12,-1.0146423925746162,277.47061919961124,206.86532438478747,69.382443771257,Other
ElasticNet,C6H6(GT),24,0.3655343119759358,5.097711662277961,3.8317839877189854,97.65009466324956,Linear/Kernel
Lasso,C6H6(GT),24,0.3636192799629557,5.105399174652745,3.821537184855057,97.21946772540709,Linear/Kernel
LinearRegression,C6H6(GT),24,0.2894728159986908,5.394628545445412,4.164462255694742,107.5844885916738,Linear/Kernel
ExtraTrees,C6H6(GT),24,0.2149651602112846,5.670425678309235,4.560518556005397,122.45638988750412,Tree
RandomForest,C6H6(GT),24,0.198519356360493,5.729513092061556,4.538819613135404,121.8159507611749,Tree
GRU,C6H6(GT),24,0.12873924815088,5.995336533617619,4.987055145523764,159.94689130964744,RNN
GBDT,C6H6(GT),24,0.1210123233628192,6.000156666863985,4.679072496336199,127.34147470979862,Tree
Ridge,C6H6(GT),24,0.0745667957395159,6.156639663441768,5.083061376804909,148.6201702649877,Linear/Kernel
LSTM,C6H6(GT),24,0.0645841998810394,6.21214868102334,5.238837678432464,164.27102252030906,RNN
LinearSVR,C6H6(GT),24,0.0213734181418813,6.331107693568419,5.28048387663041,154.14645949672644,Linear/Kernel
DecisionTree,C6H6(GT),24,-0.2709788850411179,7.215066940926367,5.152951414103579,123.6205059675453,Tree
LSTM_nn48,C6H6(GT),24,-0.2752107476555985,7.29308920522594,5.700321750627379,131.9988690984816,RNN
GRU_nn48,C6H6(GT),24,-0.4514891312087279,7.780857068557662,5.991062519438428,84.02753662155352,RNN
Naive,C6H6(GT),24,-1.5793997691674853,10.27851858097864,7.965811965811966,229.5791671059671,Other
MLP,C6H6(GT),24,-4.27256668554689,14.695427943467084,12.39410668550214,303.0276681166844,Other
LinearRegression,CO(GT),24,0.3321292935197205,1.0832559076194317,0.8099634500834761,76.29272198193972,Linear/Kernel
GRU_nn48,CO(GT),24,0.2647979245081692,1.1422165655702925,0.8082626859767034,61.99372093427223,RNN
GRU,CO(GT),24,0.2610244904738046,1.1434427006798,0.8796874496936797,87.55402022546582,RNN
LSTM,CO(GT),24,0.2518662341785774,1.1505063283101924,0.9116396416859194,94.95476826885606,RNN
ElasticNet,CO(GT),24,0.231379093476181,1.1620932138687825,0.8996512956064242,91.89382655279697,Linear/Kernel
Lasso,CO(GT),24,0.2036125853693446,1.1828973603210635,0.9377232630686496,99.58243862793232,Linear/Kernel
GBDT,CO(GT),24,0.1634453230756273,1.2123612151222825,0.9440854211004472,94.92567571313594,Tree
LinearSVR,CO(GT),24,0.1591416503831936,1.215475723166076,0.9799685641940716,105.99522780113698,Linear/Kernel
Ridge,CO(GT),24,0.1583747054478387,1.2160299131091297,0.9805275638074126,106.08054259110592,Linear/Kernel
ExtraTrees,CO(GT),24,0.138325713295214,1.2304286507498683,0.9709660368870888,99.87698111165616,Tree
RandomForest,CO(GT),24,0.0771614748511474,1.273349806845821,1.002815114709851,101.57304562809472,Tree
LSTM_nn48,CO(GT),24,-0.1480730522528994,1.4273479442120711,1.010559431572705,59.953757166810895,RNN
DecisionTree,CO(GT),24,-0.5919260273592648,1.6724236879806849,1.2252227439855985,104.64635190117232,Tree
Naive,CO(GT),24,-1.0249026044384069,1.8861965146685584,1.4362123256860098,122.98389909776311,Other
MLP,CO(GT),24,-1.2653331823388925,1.995036803715883,1.6382431301691045,160.73911785313558,Other
GBDT,NO2(GT),24,0.4272712793382133,37.90077583357944,28.957629320555675,23.514774792435137,Tree
ExtraTrees,NO2(GT),24,0.4110294348185488,38.434427317032565,29.153983355825456,24.133955463889716,Tree
ElasticNet,NO2(GT),24,0.3860196539908362,39.24197471654377,30.074358386354834,23.63589943569698,Linear/Kernel
Ridge,NO2(GT),24,0.3823991709228491,39.35750453477265,30.27168497299627,23.549979083151342,Linear/Kernel
Lasso,NO2(GT),24,0.3797482608556837,39.44188062618908,30.262947080317367,23.673961463064277,Linear/Kernel
LinearSVR,NO2(GT),24,0.3770236265006347,39.52841560650254,30.51258574649207,23.541513564460097,Linear/Kernel
RandomForest,NO2(GT),24,0.3604961029477591,40.04932646484082,30.287137501874344,25.335947182147457,Tree
LinearRegression,NO2(GT),24,0.067537999109677,48.36032272198687,37.98268271208124,26.362003681862927,Linear/Kernel
MLP,NO2(GT),24,0.0508842952211436,48.79026745512943,38.00837891029976,32.83106318096239,Other
LSTM,NO2(GT),24,-0.25910749061632,56.33544121416726,43.515499277981846,29.217556167095683,RNN
DecisionTree,NO2(GT),24,-0.278592561237021,56.62910602586888,44.009110688777824,36.57833451209558,Tree
