model,pollutant,horizon_h,RMSE,MAE,MAPE(%),R2,n_test,fit_time_s,best_params,n_train,params
GBDT,C6H6(GT),24,6.000156666863985,4.6790724963361985,127.34147470979862,0.1210123233628192,2223.0,45.32625436782837,,7086.0,
DecisionTree,NOx(GT),1,142.20710075737955,95.84391194103544,35.107601380301425,0.4691706359179181,2246.0,0.4082930088043213,,7086.0,
RandomForest,NOx(GT),1,86.88102242463093,63.3966948649451,26.117625484565956,0.801864534130353,2246.0,8.64043140411377,,7086.0,
ExtraTrees,NOx(GT),1,87.54144198382,62.30615650044524,24.485576313907192,0.7988408618432579,2246.0,4.157487630844116,,7086.0,
GBDT,NOx(GT),1,88.14253527334442,63.87682614699519,27.46340926323056,0.796068905356673,2246.0,44.98168325424194,,7086.0,
DecisionTree,NOx(GT),6,234.40752003537528,171.45621363308487,74.89614442730573,-0.43985974100042924,2241.0,0.39414477348327637,,7086.0,
RandomForest,NOx(GT),6,150.1042250746611,113.24901383311021,50.67763292298593,0.40957744201448043,2241.0,8.15205979347229,,7086.0,
ExtraTrees,NOx(GT),6,146.98760990390937,107.95752008032129,44.08168663336334,0.43384080553657156,2241.0,3.9501805305480957,,7086.0,
GBDT,NOx(GT),6,175.00562758460208,139.321832911773,69.02379903904297,0.19743329799942144,2241.0,45.08206605911255,,7086.0,
DecisionTree,NOx(GT),12,231.31105406078302,168.59164573943553,70.26890801654126,-0.40009252475367285,2235.0,0.4032776355743408,,7086.0,
RandomForest,NOx(GT),12,172.22265304533445,124.47580014914243,51.35708003848154,0.22385205516523377,2235.0,8.199741125106812,,7086.0,
ExtraTrees,NOx(GT),12,152.91945387489994,111.0422427293065,46.01003173945727,0.3880873403511731,2235.0,4.188443899154663,,7086.0,
GBDT,NOx(GT),12,163.89864231362762,119.80022758550247,47.778910275859786,0.2970658000512699,2235.0,45.48450422286987,,7086.0,
DecisionTree,NOx(GT),24,213.41809292261513,161.07787290965652,68.61368327699527,-0.19110038653818195,2223.0,0.40741753578186035,,7086.0,
RandomForest,NOx(GT),24,168.6862228636666,122.74395111710902,52.44659005563443,0.2558763225405376,2223.0,8.332305908203125,,7086.0,
ExtraTrees,NOx(GT),24,157.85497964427933,114.2775472334683,48.149216322075965,0.3483679011604037,2223.0,4.042083740234375,,7086.0,
GBDT,NOx(GT),24,167.28396323763855,124.95581301291658,55.69662784622095,0.2681964461707079,2223.0,46.84782838821411,,7086.0,
DecisionTree,NO2(GT),1,35.02179648191923,25.526945589501832,19.539271364703826,0.5077588493611774,2246.0,0.4008479118347168,,7086.0,
RandomForest,NO2(GT),1,23.889137403453322,17.374087266251113,13.690374890475276,0.7709649156094874,2246.0,8.73247480392456,,7086.0,
ExtraTrees,NO2(GT),1,24.35860746766535,17.90775601068566,14.074083430056774,0.7618744526609328,2246.0,4.239666223526001,,7086.0,
GBDT,NO2(GT),1,23.048228531925027,17.001674082210123,14.248783365115408,0.7868054097643261,2246.0,45.501235485076904,,7086.0,
DecisionTree,NO2(GT),6,52.62609721454259,40.92037986090515,33.30619984206454,-0.10976510296130915,2241.0,0.4221312999725342,,7086.0,
RandomForest,NO2(GT),6,40.890246290559475,31.667840249888446,26.0423987536633,0.3300102021141442,2241.0,8.078958749771118,,7086.0,
ExtraTrees,NO2(GT),6,40.375311155743894,31.197212182061573,24.950162858967566,0.3467784536856898,2241.0,3.8474814891815186,,7086.0,
GBDT,NO2(GT),6,37.136331914960685,29.19322601371428,24.44185323484788,0.4473798119586103,2241.0,44.862151861190796,,7086.0,
